name,total amount (4/1),rc_qty,rc_price,shopify_qty,shopify_price,__key__,shopify value,rc value,notes,touched_rc,touched_shopify,rare_find_id,pending_rc_update,inventory_item_id,variant_id,pending_shopify_update,shopify_inventory_id,__orig_idx__,slug
Chilling Reign Single Pack Blister [Wailord],,0.0,19.99,0.0,18.99,chilling reign single pack blister [wailord],,,,True,True,14317.0,False,48360.0,46489193513180.0,False,48587488559324.0,127,chilling-reign-single-back-blister-wailord-e58cede0
Chinese 25th Anniversary Box [Blastoise],,1.0,199.99,0.0,199.99,chinese 25th anniversary box [blastoise],,,,True,True,15385.0,False,51898.0,46546031378652.0,False,48644247421148.0,128,chinese-25th-anniversary-box-blastoise-731806be
Chinese 25th Anniversary Box [Charizard],,1.0,199.99,0.0,199.99,chinese 25th anniversary box [charizard],,,,True,True,15382.0,False,51899.0,46546034458844.0,False,48644250501340.0,129,chinese-25th-anniversary-box-charizard-5a5ea6e7
Chinese 25th Anniversary Box [Rayquaza],,0.0,199.99,0.0,199.99,chinese 25th anniversary box [rayquaza],,,,True,True,15386.0,False,51896.0,46546035540188.0,False,48644251582684.0,130,chinese-25th-anniversary-box-rayquaza-069a7a74
Chinese 25th Anniversary Box [Umbreon],,1.0,199.95,0.0,199.99,chinese 25th anniversary box [umbreon],,,,True,True,15384.0,False,51895.0,46546032689372.0,False,48644248731868.0,131,chinese-25th-anniversary-box-umbreon-057c1d41
Chinese 25th Anniversary Box [Venusaur],,1.0,149.99,1.0,134.99,chinese 25th anniversary box [venusaur],,,,True,True,15383.0,False,51897.0,46546034917596.0,False,48644250960092.0,132,chinese-25th-anniversary-box-venusaur-1b949c54
Cosmic Eclipse 2-pack Blister [Celebi],3.0,0.0,68.99,0.0,70.49,cosmic eclipse 2-pack blister [celebi],,,"Need Pictures, make sure packs are correct",True,True,14306.0,False,48349.0,46489193939164.0,False,48587488985308.0,133,cosmic-eclipse-2-pack-blister-celebi-077a7e55
Cosmic Eclipse Booster Box,1.0,0.0,2999.99,0.0,3429.99,cosmic eclipse booster box,,,Pictures Needed - Take to Show?,True,True,15929.0,False,53998.0,46611493224668.0,False,48708819091676.0,134,cosmic-eclipse-booster-box-9c267d6b
Cosmic Eclipse Booster Pack,2.0,0.0,36.99,0.0,47.0,cosmic eclipse booster pack,,29.99,,True,True,12379.0,False,39827.0,46489194070236.0,False,48587489116380.0,135,cosmic-eclipse-booster-pack-839e0608
Cosmic Eclipse Build & Battle Box,,0.0,244.99,0.0,391.99,cosmic eclipse build & battle box,,,,True,True,14191.0,False,48274.0,46489195577564.0,False,48587490623708.0,136,cosmic-eclipse-build-battle-box-64c4fd22
Costco 151 Exclusive 5-pack Mini Tins [1x Random Artwork],,2.0,114.99,2.0,106.99,costco 151 exclusive 5-pack mini tins [1x random artwork],,,,True,True,14490.0,False,38872.0,46489196134620.0,False,48587491180764.0,137,costco-151-exclusive-5-pack-mini-tins-1x-random-artwork-981e57e1
Crimson Invasion Booster Pack,20.0,14.0,12.99,11.0,13.49,crimson invasion booster pack,0.0,259.8,,True,True,12087.0,False,38331.0,46189048168668.0,False,48287336497372.0,138,crimson-invasion-booster-pack-104e1d04
Crimson Invasion Elite Trainer Box,,0.0,179.99,2.0,179.99,crimson invasion elite trainer box,,,,True,True,15727.0,False,38377.0,46544938991836.0,False,48643165847772.0,139,crimson-invasion-elite-trainer-box-9623ece3
Crown Zenith Booster Bundle,4.0,0.0,79.95,0.0,86.25,crown zenith booster bundle,129.0,,,True,True,14267.0,False,42305.0,46431506071772.0,False,48529879662812.0,140,crown-zenith-booster-bundle-4302ab5c
Crown Zenith Booster Pack,1500.0,147.0,9.89,150.0,10.75,crown zenith booster pack,4625.0,2718.9,,True,True,12157.0,False,38414.0,45913633620188.0,False,48008854667484.0,141,crown-zenith-booster-pack-e24889d3
Crown Zenith Collection [Regieleki V],,0.0,49.99,0.0,47.25,crown zenith collection [regieleki v],,,,True,True,15728.0,False,41525.0,46545205231836.0,False,48643432317148.0,142,crown-zenith-collection-regieleki-v-37ba1412
Crown Zenith Elite Trainer Box,,2.0,189.99,2.0,179.25,crown zenith elite trainer box,,,,True,True,15729.0,False,41536.0,46410917019868.0,False,48509260562652.0,143,crown-zenith-elite-trainer-box-bb1bb253
Crown Zenith International Tin [Galarian Articuno],,0.0,44.99,0.0,41.99,crown zenith international tin [galarian articuno],,,,True,True,16600.0,False,55991.0,46663201554652.0,False,48759987601628.0,144,crown-zenith-international-tin-galarian-articuno-8e0638b1
Crown Zenith International Tin [Galarian Moltres],,0.0,44.99,0.0,50.99,crown zenith international tin [galarian moltres],,,,True,True,16597.0,False,55994.0,46663200800988.0,False,48759986847964.0,145,crown-zenith-international-tin-galarian-moltres-f8c408d4
Crown Zenith International Tin [Galarian Zapdos],,0.0,49.99,0.0,47.49,crown zenith international tin [galarian zapdos],,,,True,True,16596.0,False,55995.0,46663200866524.0,False,48759986913500.0,146,crown-zenith-international-tin-galarian-zapdos-6aa43c3e
Crown Zenith Mini Tin [Assorted Art],,7.0,29.95,8.0,28.0,crown zenith mini tin [assorted art],,,,True,True,15741.0,False,53000.0,46545198153948.0,False,48643425239260.0,147,crown-zenith-mini-tin-assorted-art-2d1f4fb1
Crown Zenith Mini Tin Display [Sealed],6.0,0.0,219.95,0.0,391.99,crown zenith mini tin display [sealed],397.98,,,True,True,14216.0,False,42607.0,46431505547484.0,False,48529879138524.0,148,pf1738-851087-4231
Crown Zenith Morpeko V-UNION Playmat Premium Collection,3.0,2.0,84.99,2.0,83.99,crown zenith morpeko v-union playmat premium collection,83.99,,,True,True,14271.0,False,41534.0,46281851994332.0,False,48380219392220.0,149,crown-zenith-morpeko-v-union-playmat-premium-collection-b2f86c36
Crown Zenith Pikachu VMAX Premium Collection,6.0,1.0,93.95,1.0,91.75,crown zenith pikachu vmax premium collection,284.97,,,True,True,14217.0,False,48283.0,46412464718044.0,False,48510813602012.0,150,crown-zenith-pikachu-vmax-premium-collection-da70c11e
Crown Zenith Pikachu VMAX Special Collection,,2.0,79.99,2.0,75.49,crown zenith pikachu vmax special collection,,,,True,True,16619.0,False,56007.0,46545127702748.0,False,48643354558684.0,151,crown-zenith-pikachu-vmax-special-collection-874c3b01
Crown Zenith Pokémon Center Elite Trainer Box Plus,6.0,0.0,309.95,1.0,287.25,crown zenith pokémon center elite trainer box plus,279.99,,,True,True,14215.0,False,40285.0,46412556959964.0,False,48510905876700.0,152,crown-zenith-pokémon-center-elite-trainer-box-plus-f31c1c69
Crown Zenith Premium Figure Collection [Shiny Zacian],,0.0,179.99,0.0,176.49,crown zenith premium figure collection [shiny zacian],,,,True,True,16621.0,False,41532.0,46545194516700.0,False,48643421602012.0,153,crown-zenith-premium-figure-collection-shiny-zacian-5fd95ba9
Crown Zenith Premium Figure Collection [Shiny Zamazenta],,0.0,169.99,1.0,168.49,crown zenith premium figure collection [shiny zamazenta],,,,True,True,16620.0,False,41533.0,46545192386780.0,False,48643419472092.0,154,crown-zenith-premium-figure-collection-shiny-zamazenta-cd9d0993
Crown Zenith Regidrago V Collection,,0.0,49.99,0.0,49.99,crown zenith regidrago v collection,,,,True,True,14580.0,False,41527.0,46489198264540.0,False,48587493310684.0,155,crown-zenith-regidrago-v-collection-6594aa2b
Crown Zenith Tin [Galarian Articuno],7.0,2.0,70.49,3.0,70.49,crown zenith tin [galarian articuno],,321.93,,True,True,12990.0,False,42926.0,46489198428380.0,False,48587493474524.0,156,crown-zenith-tin-galarian-articuno-0c38bb58
Crown Zenith Tin [Galarian Moltres],1.0,2.0,74.99,1.0,73.49,crown zenith tin [galarian moltres],,49.99,,True,True,14067.0,False,47509.0,46546166055132.0,False,48644382097628.0,157,crown-zenith-tin-galarian-moltres-e13e2334
Crown Zenith Tin [Galarian Zapdos],,1.0,54.99,0.0,49.0,crown zenith tin [galarian zapdos],,,,True,True,14189.0,False,48273.0,46489198559452.0,False,48587493605596.0,158,crown-zenith-tin-galarian-zapdos-9a995ccf
Cynthia's Garchomp ex Premium Collection,,0.0,49.99,0.0,48.99,cynthia's garchomp ex premium collection,,,,True,True,16598.0,False,55993.0,46663203127516.0,False,48759989174492.0,159,cynthias-garchomp-ex-premium-collection-bd21755b
Dark Powers ex Special Collection,6.0,0.0,53.99,0.0,86.75,dark powers ex special collection,149.97,,,True,True,14218.0,False,48285.0,46413178863836.0,False,48511527813340.0,160,dark-powers-ex-special-collection-6334fa8d
Darkness Ablaze 2-Pack Blister [Mega Mawile],,0.0,24.95,1.0,24.49,darkness ablaze 2-pack blister [mega mawile],,,,True,True,14301.0,False,48344.0,46489198690524.0,False,48587493736668.0,161,darkness-ablaze-2-pack-blister-mega-mawile-7c75fd89
Darkness Ablaze 2-Pack Blister [Mega Tyranitar],,0.0,29.99,1.0,29.99,darkness ablaze 2-pack blister [mega tyranitar],,,,True,True,14302.0,False,48345.0,46489199247580.0,False,48587494293724.0,162,darkness-ablaze-2-pack-blister-mega-tyranitar-8a181cd7
Darkness Ablaze Booster Box,,0.0,264.99,0.0,259.75,darkness ablaze booster box,,,,True,True,16413.0,False,42360.0,46647284990172.0,False,48744302936284.0,163,darkness-ablaze-booster-box-ce2733e2
Darkness Ablaze Booster Pack,49.0,17.0,7.99,18.0,7.75,darkness ablaze booster pack,0.0,251.64,,True,True,12295.0,False,38335.0,46189028147420.0,False,48287315099868.0,164,darkness-ablaze-booster-pack-26706d85
Darkness Ablaze Elite Trainer Box,2.0,0.0,79.95,0.0,78.25,darkness ablaze elite trainer box,0.0,,,True,True,14127.0,False,38376.0,46189067337948.0,False,48287356059868.0,165,darkness-ablaze-elite-trainer-box-a1cd60bf
Darkness Ablaze Single Pack Blister [Hatenna],,0.0,14.99,1.0,17.0,darkness ablaze single pack blister [hatenna],,,,True,True,16495.0,False,55027.0,46650034716892.0,False,48747045159132.0,166,darkness-ablaze-single-pack-blister-hatenna-45cf681f
Darkness Ablaze Single Pack Blister [Pikachu],2.0,2.0,21.95,3.0,20.75,darkness ablaze single pack blister [pikachu],20.75,,,True,True,14275.0,False,48310.0,46414408024284.0,False,48512756941020.0,167,darkness-ablaze-single-pack-blister-pikachu-96376a86
Darkness Ablaze Sleeved Booster Pack,,22.0,8.95,22.0,8.25,darkness ablaze sleeved booster pack,,,,True,True,14939.0,False,38367.0,46511198765276.0,False,48609460256988.0,168,darkness-ablaze-sleeved-booster-pack-001a99a4
Darkrai VSTAR Premium Collection,,0.0,79.99,0.0,77.49,darkrai vstar premium collection,,,,True,True,16428.0,False,54994.0,46647285055708.0,False,48744303001820.0,169,darkrai-vstar-premium-collection-ae295bcd
Deadly Disguise Commander Deck,,1.0,38.99,1.0,38.99,deadly disguise commander deck,109.47,,,True,True,15392.0,False,42450.0,46426468155612.0,False,48524812386524.0,170,deadly-disguise-commander-deck-422f04fa
Deep Clue Sea Commander Deck,,2.0,32.99,1.0,30.49,deep clue sea commander deck,110.97,,,True,True,15393.0,False,42449.0,46426468221148.0,False,48524812452060.0,171,deep-clue-sea-commander-deck-4c437f52
Destined Rivals 3-Pack Blister,,5.0,24.99,4.0,24.25,destined rivals 3-pack blister,,,,True,True,14705.0,False,48906.0,46489628508380.0,False,48587923390684.0,172,destined-rivals-3pack-blister-b8e5048d
Destined Rivals Booster Box,,2.0,264.99,2.0,259.99,destined rivals booster box,,,,True,True,14708.0,False,48908.0,46489628180700.0,False,48587923063004.0,173,destined-rivals-booster-box-d4dc7596
Destined Rivals Booster Bundle,,3.0,53.95,3.0,51.99,destined rivals booster bundle,,,,True,True,14704.0,False,48907.0,46489628573916.0,False,48587923456220.0,174,destined-rivals-booster-bundle-de163f3a
Destined Rivals Booster Pack,,4.0,7.95,2.0,6.75,destined rivals booster pack,,,,True,True,16080.0,False,53968.0,46611493290204.0,False,48708819157212.0,175,destined-rivals-booster-pack-d68b0c9f
Destined Rivals Elite Trainer Box,,1.0,94.99,0.0,89.0,destined rivals elite trainer box,,,,True,True,14703.0,False,48905.0,46489628279004.0,False,48587923161308.0,176,destined-rivals-elite-trainer-box-5f56d49c
Destined Rivals Single Pack Blister [Togekiss],,0.0,24.99,0.0,21.0,destined rivals single pack blister [togekiss],,,,True,True,16601.0,False,55990.0,46663200702684.0,False,48759986749660.0,177,destined-rivals-single-pack-blister-togekiss-3a58e326
Detective Pikachu Booster Pack,42.0,12.0,12.95,11.0,12.75,detective pikachu booster pack,264.27,203.83,,True,True,12377.0,False,39829.0,46417460134108.0,False,48515806101724.0,178,detective-pikachu-booster-pack-89a8d47a
Detective Pikachu Charizard GX Case File,1.0,,,0.0,94.99,detective pikachu charizard gx case file,99.71,,,False,True,,False,,46431421104348.0,False,48529794629852.0,179,
Disney Lorcana Azurite Sea Booster Box,,0.0,109.99,0.0,93.49,disney lorcana azurite sea booster box,,,,True,True,14501.0,False,42409.0,46489199313116.0,False,48587494359260.0,180,disney-lorcana-azurite-sea-booster-box-4c6ae5d1
Disney Lorcana Azurite Sea Booster Pack,,1.0,5.55,1.0,5.25,disney lorcana azurite sea booster pack,,,,True,True,14502.0,False,42430.0,46489199476956.0,False,48587494523100.0,181,disney-lorcana-azurite-sea-booster-pack-76ce29ea
Disney Lorcana Shimmering Skies Booster Box,,0.0,109.95,0.0,104.75,disney lorcana shimmering skies booster box,,,,True,True,14498.0,False,42408.0,46489199542492.0,False,48587494588636.0,182,disney-lorcana-shimmering-skies-booster-box-62ea0c3e
Disney Lorcana The First Chapter Booster Box,,0.0,409.95,0.0,369.99,disney lorcana the first chapter booster box,,,,True,True,14499.0,False,42404.0,46489199739100.0,False,48587494785244.0,183,disney-lorcana-the-first-chapter-booster-box-c49ec72e
Disney Lorcana The First Chapter Sleeved Pack,,0.0,14.99,0.0,14.99,disney lorcana the first chapter sleeved pack,,,,True,True,14500.0,False,42419.0,46489199837404.0,False,48587494883548.0,184,disney-lorcana-the-first-chapter-sleeved-pack-ab24a68a
Dive Ball Tin,4.0,0.0,109.99,0.0,103.99,dive ball tin,322.98,,,True,True,14202.0,False,42608.0,46410774937820.0,False,48509118251228.0,185,dive-ball-tin-6bd79942
Dominaria Remastered Draft Booster Box,,1.0,159.95,1.0,156.75,dominaria remastered draft booster box,273.6,,,True,True,15394.0,False,42470.0,46411623334108.0,False,48509967007964.0,186,dominaria-remastered-draft-booster-box-bd3c0bba
Dragon Majesty Booster Pack,3.0,0.0,59.99,0.0,67.99,dragon majesty booster pack,,149.97,,True,True,12747.0,False,42326.0,46489238536412.0,False,48587533582556.0,187,dragon-majesty-booster-pack-1a9fecc9
