name,total amount (4/1),rc_qty,rc_price,shopify_qty,shopify_price,__key__,shopify value,rc value,notes
Silver Tempest Elite Trainer Box,2.0,,,0.0,56.0,silver tempest elite trainer box,0.0,,check to see how many we have
Rise of the Floodborn Booster Pack,,,,11.0,7.49,rise of the floodborn booster pack,82.39,,
Vivid Voltage Elite Trainer Box,3.0,0.0,84.99,0.0,75.99,vivid voltage elite trainer box,0.0,0.0,
Lost Origin Booster Box,7.0,1.0,409.95,2.0,379.99,lost origin booster box,759.98,409.95,
Rise of the Floodborn Illumineer’s Trove,,,,3.0,64.49,rise of the floodborn illumineer’s trove,193.46999999999997,,
Shimmering Skies Booster Pack,,,,1.0,5.04,shimmering skies booster pack,5.04,,
Shimmering Skies Illumineer’s Trove,,,,2.0,39.99,shimmering skies illumineer’s trove,79.98,,
Chilling Reign Booster Box,0.0,,,0.0,310.75,chilling reign booster box,0.0,,
Evolving Skies Booster Box,2.0,0.0,1499.99,0.0,1258.75,evolving skies booster box,0.0,0.0,We sold this
Rebel Clash Sleeved Booster Pack,0.0,,,0.0,9.99,rebel clash sleeved booster pack,0.0,,
Shimmering Skies Sleeved Booster Pack,,,,102.0,5.51,shimmering skies sleeved booster pack,562.02,,
The First Chapter Booster Pack,,,,9.0,13.75,the first chapter booster pack,123.75,,
The First Chapter Gift Set,,,,1.0,82.99,the first chapter gift set,82.99,,
Shining Fates Elite Trainer Box,3.0,1.0,89.99,1.0,80.75,shining fates elite trainer box,80.75,89.99,
The First Chapter Illumineer’s Trove,,,,3.0,344.99,the first chapter illumineer’s trove,1034.97,,
Ursula’s Return Booster Pack,,,,3.0,4.75,ursula’s return booster pack,14.25,,
Ursula’s Return Illumineer’s Trove,,,,1.0,46.99,ursula’s return illumineer’s trove,46.99,,
Ursula’s Return Sleeved Booster Pack,,,,8.0,6.5,ursula’s return sleeved booster pack,52.0,,
Dragon Shield Matte Forest Green Sleeves [100 Count],,,,20.0,13.49,dragon shield matte forest green sleeves [100 count],269.8,,
Shrouded Fable Elite Trainer Box,0.0,,,0.0,54.99,shrouded fable elite trainer box,0.0,,
Shrouded Fable Pokémon Center Elite Trainer Box,5.0,,,0.0,82.99,shrouded fable pokémon center elite trainer box,0.0,,
Dragon Shield Matte Orange Sleeves [100 Count],,,,20.0,11.09,dragon shield matte orange sleeves [100 count],221.8,,
Dragon Shield Matte Purple Sleeves [100 Count],,,,20.0,11.99,dragon shield matte purple sleeves [100 count],239.8,,
Surging Sparks Booster Bundle,44.0,18.0,39.89,23.0,42.99,surging sparks booster bundle,988.7700000000001,718.02,
Surging Sparks Sleeved Booster Pack,1.0,,,0.0,7.0,surging sparks sleeved booster pack,0.0,,
Dragon Shield Matte Silver Sleeves [100 Count],,,,20.0,11.99,dragon shield matte silver sleeves [100 count],239.8,,
Dragon Shield Matte Yellow Sleeves [100 Count],,,,20.0,11.49,dragon shield matte yellow sleeves [100 count],229.8,,
Temporal Forces Booster Bundle,18.0,8.0,37.99,10.0,40.25,temporal forces booster bundle,402.5,303.92,
Assassin's Creed Collector Booster Box,,,,1.0,276.99,assassin's creed collector booster box,276.99,,
Temporal Forces Pokémon Center Elite Trainer Box [Iron Leaves],0.0,,,0.0,132.99,temporal forces pokémon center elite trainer box [iron leaves],0.0,,
Temporal Forces Pokémon Center Elite Trainer Box [Walking Wake],0.0,,,0.0,213.99,temporal forces pokémon center elite trainer box [walking wake],0.0,,
Blame Game Commander Deck,,,,3.0,42.99,blame game commander deck,128.97,,
Blast from the Past Commander Deck,,,,1.0,32.99,blast from the past commander deck,32.99,,
Deadly Disguise Commander Deck,,,,3.0,36.49,deadly disguise commander deck,109.47,,
Deep Clue Sea Commander Deck,,,,3.0,36.99,deep clue sea commander deck,110.97,,
Dominaria Remastered Draft Booster Box,,,,2.0,136.8,dominaria remastered draft booster box,273.6,,
Food and Fellowship Commander Deck,,,,1.0,45.99,food and fellowship commander deck,45.99,,
Forces of the Imperium Commander Deck,,,,2.0,139.0,forces of the imperium commander deck,278.0,,
Foundations Play Booster Box,,,,1.0,149.99,foundations play booster box,149.99,,
Vaporeon VMAX Premium Collection,6.0,2.0,249.99,3.0,219.99,vaporeon vmax premium collection,659.97,499.98,
"Hail, Caesar Commander Deck",,,,2.0,49.99,"hail, caesar commander deck",99.98,,
Hosts of Mordor Commander Deck,,,,1.0,59.49,hosts of mordor commander deck,59.49,,
Ikoria: Lair of Behemoths Booster Box,,,,1.0,145.99,ikoria: lair of behemoths booster box,145.99,,
Evolutions Elite Trainer Box [Mega Blastoise],0.0,,,0.0,369.99,evolutions elite trainer box [mega blastoise],0.0,,
Evolutions Elite Trainer Box [Mega Charizard Y],0.0,,,0.0,334.99,evolutions elite trainer box [mega charizard y],0.0,,
Kamigawa: Neon Dynasty Set Booster Box,,,,1.0,129.99,kamigawa: neon dynasty set booster box,129.99,,
Masters of Evil Commander Deck,,,,1.0,54.0,masters of evil commander deck,54.0,,
Modern Horizons 3 Play Booster Pack,,,,10.0,8.49,modern horizons 3 play booster pack,84.9,,
Murders at Karlov Manor Play Booster Box,,,,1.0,115.99,murders at karlov manor play booster box,115.99,,
Mutant Menace Commander Deck,,,,2.0,59.99,mutant menace commander deck,119.98,,
Necron Dynasties Commander Deck,,,,1.0,184.75,necron dynasties commander deck,184.75,,
Paradox Power Commander Deck,,,,1.0,26.99,paradox power commander deck,26.99,,
Sword & Shield Ultra-Premium Collection - Zacian & Zamazenta,0.0,,,,,sword & shield ultra-premium collection - zacian & zamazenta,,,
Shining Legends Pin Collection [Pikachu],1.0,,,,,shining legends pin collection [pikachu],,,
2021 Trainers Toolkit,1.0,1.0,29.99,,,2021 trainers toolkit,,29.99,
London World Championship Deck [Cheryl Again],1.0,1.0,14.99,,,london world championship deck [cheryl again],,14.99,
London World Championship Deck [The Shape of Mew],1.0,1.0,22.99,,,london world championship deck [the shape of mew],,22.99,
London World Championship Deck [Ice Rider Palkia],1.0,1.0,14.99,,,london world championship deck [ice rider palkia],,14.99,
Greninja ex Special Illustration Collection,3.0,,,,,greninja ex special illustration collection,,,
Kingdra ex Special Illustration Collection,3.0,,,,,kingdra ex special illustration collection,,,
Paldean Fates Premium Collection [Skeledirge ex],1.0,1.0,94.99,,,paldean fates premium collection [skeledirge ex],,94.99,
Paldean Fates Premium Collection Box [Quaquaval ex],1.0,1.0,89.99,,,paldean fates premium collection box [quaquaval ex],,89.99,
Paldea Collection [Sprigatito/Miraidon],1.0,1.0,59.99,,,paldea collection [sprigatito/miraidon],,59.99,
Morpeko V - Union Special Collection,1.0,,,,,morpeko v - union special collection,,,
Paldea Adventure Chest,4.0,,,,,paldea adventure chest,,,tear down
Blastoise GX Premium Collection,1.0,,,,,blastoise gx premium collection,,,take to show
2022 Battle Academy,12.0,6.0,9.99,,,2022 battle academy,,59.94,
Journey Together Hop's Zacian ex Box,7.0,4.0,32.99,,,journey together hop's zacian ex box,,131.96,
Reshiram & Charizard GX Figure Collection,1.0,,,,,reshiram & charizard gx figure collection,,,
Hidden Fates Premium Powers Collection,1.0,,,,,hidden fates premium powers collection,,,
Charmander Sidekick Collection,1.0,,,,,charmander sidekick collection,,,
Mabosstiff ex Box,14.0,7.0,22.99,,,mabosstiff ex box,,160.92999999999998,
151 Ultra Premium Collection,6.0,,,,,151 ultra premium collection,,,
Pokemon GO Pokemon Center Elite Trainer Box,2.0,,,,,pokemon go pokemon center elite trainer box,,,
151 Elite Trainer Box,1.0,,,,,151 elite trainer box,,,
Battle Styles Elite Trainer Box [Single Strike Urshifu],1.0,1.0,64.99,,,battle styles elite trainer box [single strike urshifu],,64.99,
Phantom Forces ETB,1.0,,,,,phantom forces etb,,,Pictures Needed - Take to Show?
Unified Minds ETB,1.0,,,,,unified minds etb,,,Pictures Needed - Take to Show?
Celestial Storm ETB,1.0,,,,,celestial storm etb,,,Pictures Needed - Take to Show?
Cosmic Eclipse Booster Box,1.0,,,,,cosmic eclipse booster box,,,Pictures Needed - Take to Show?
Unified Minds Booster box,1.0,,,,,unified minds booster box,,,Pictures Needed - Take to Show?
Celestial Storm Booster box,1.0,,,,,celestial storm booster box,,,Pictures Needed - Take to Show?
Unbroken Bonds Booster Box,4.0,,,,,unbroken bonds booster box,,,Pictures Needed - Take to Show?
Burning Shadows Booster Box,1.0,,,,,burning shadows booster box,,,Pictures Needed - Take to Show?
Roaring Skies Booster Box,1.0,,,,,roaring skies booster box,,,Pictures Needed - Take to Show?
Evolving Skies Case [Sealed],1.0,,,,,evolving skies case [sealed],,,Pictures Needed - Take to Show?
Paldean Fates Booster Bundle,21.0,,,,,paldean fates booster bundle,,,
Obsidian Flames Build & Battle Box,10.0,,,,,obsidian flames build & battle box,,,
Astral Radiance Build and Battle Box,10.0,5.0,34.99,,,astral radiance build and battle box,,174.95000000000002,
Silver Tempest Build & Battle Stadium,1.0,,,,,silver tempest build & battle stadium,,,
151 Mini Tin Display [Sealed],1.0,1.0,279.99,,,151 mini tin display [sealed],,279.99,
Celebrations Mini Tin [1x Assorted Art],19.0,23.0,29.99,,,celebrations mini tin [1x assorted art],,689.77,
Evolution Celebration Tin [Glaceon GX],1.0,,,,,evolution celebration tin [glaceon gx],,,
Eevee Evolutions Tin [Vaporeon V],1.0,,,,,eevee evolutions tin [vaporeon v],,,
V Heroes Tin [Umbreon V],1.0,,,,,v heroes tin [umbreon v],,,
International V Heroes [Espeon V],1.0,1.0,54.99,,,international v heroes [espeon v],,54.99,
Crown Zenith Tin [Galarian Moltres],1.0,1.0,49.99,,,crown zenith tin [galarian moltres],,49.99,
Paldean Fates Tin [Great Tusk],1.0,1.0,59.99,,,paldean fates tin [great tusk],,59.99,
Paldean Fates Tin [Iron Treads ex],1.0,1.0,54.99,,,paldean fates tin [iron treads ex],,54.99,
First Partner Pack [Alola],3.0,,,,,first partner pack [alola],,,
First Partner Pack [Sinnoh],3.0,2.0,16.99,,,first partner pack [sinnoh],,33.98,
First Partner Pack [Kalos],3.0,,,,,first partner pack [kalos],,,
First Partner Pack [Johto],3.0,,,,,first partner pack [johto],,,
First Partner Pack [Hoenn],3.0,,,,,first partner pack [hoenn],,,
First Partner Pack [Unova],2.0,,,,,first partner pack [unova],,,
First Partner Pack [Galar],2.0,,,,,first partner pack [galar],,,
First Partner Pack [Kanto],3.0,,,,,first partner pack [kanto],,,
McDonald's 25th Anniversary Booster Pack,25.0,,,,,mcdonald's 25th anniversary booster pack,,,in envelopes
Japanese Yambuki City Gym Sabrina Deck Box,1.0,,,,,japanese yambuki city gym sabrina deck box,,,
Obsidian Flames Booster Pack,54.0,20.0,5.99,26.0,6.25,obsidian flames booster pack,162.5,119.80000000000001,
Paradox Rift Booster Pack,41.0,31.0,5.99,0.0,5.89,paradox rift booster pack,0.0,185.69,
Evolving Skies Booster Pack,105.0,6.0,24.99,16.0,22.99,evolving skies booster pack,367.84,149.94,
Rebel Clash Booster Pack,58.0,26.0,6.49,26.0,5.99,rebel clash booster pack,155.74,168.74,
Darkness Ablaze Elite Trainer Box,2.0,,,0.0,70.25,darkness ablaze elite trainer box,0.0,,
Ravnica Allegiance Booster Box,,,,1.0,104.99,ravnica allegiance booster box,104.99,,
Shining Fates Booster Pack,18.0,11.0,8.88,0.0,8.99,shining fates booster pack,0.0,97.68,
Battle Styles Sleeved Booster Pack,27.0,25.0,5.99,0.0,6.75,battle styles sleeved booster pack,0.0,149.75,
Fusion Strike Booster Pack,27.0,21.0,8.99,,,fusion strike booster pack,,188.79,
Evolutions Booster Pack,83.0,19.0,34.99,29.0,31.99,evolutions booster pack,927.7099999999999,664.8100000000001,
Breakthrough Booster Pack,1.0,,,,,breakthrough booster pack,,,
General Mills Booster Pack,3.0,,,,,general mills booster pack,,,pictures?
Detective Pikachu Booster Pack,42.0,17.0,11.99,23.0,11.49,detective pikachu booster pack,264.27,203.83,
Celebrations Booster Pack,68.0,12.0,10.99,0.0,9.99,celebrations booster pack,0.0,131.88,
Sun & Moon Base Set Booster Pack,21.0,20.0,11.99,0.0,12.75,sun & moon base set booster pack,0.0,239.8,
Crimson Invasion Booster Pack,20.0,20.0,12.99,0.0,13.0,crimson invasion booster pack,0.0,259.8,
Hidden Fates Booster Pack,7.0,7.0,28.99,0.0,27.99,hidden fates booster pack,0.0,202.92999999999998,
Pokemon Base Set Booster,3.0,,,,,pokemon base set booster,,,need to weigh it
First Edition Jungle Booster Pack,3.0,,,,,first edition jungle booster pack,,,need to weight it
Unbroken Bonds Booster Pack,6.0,6.0,29.99,0.0,44.99,unbroken bonds booster pack,0.0,179.94,
Unified Minds Booster Pack,15.0,8.0,34.99,7.0,34.99,unified minds booster pack,244.93,279.92,
Ravnica Remastered Draft Booster Box,,,,1.0,174.99,ravnica remastered draft booster box,174.99,,
Journey Together Booster Pack,198.0,138.0,6.95,50.0,6.49,journey together booster pack,324.5,959.1,
Stellar Crown Booster Pack,10.0,10.0,5.75,,,stellar crown booster pack,,57.5,
Paldea Evolved Booster Pack,38.0,20.0,7.29,18.0,6.49,paldea evolved booster pack,116.82000000000001,145.8,
Temporal Forces Booster Pack,17.0,7.0,5.25,0.0,5.25,temporal forces booster pack,0.0,36.75,
Surging Sparks Booster Pack,7.0,0.0,6.95,0.0,6.99,surging sparks booster pack,0.0,0.0,
Darkness Ablaze Booster Pack,49.0,36.0,6.99,0.0,6.45,darkness ablaze booster pack,0.0,251.64000000000001,
Silver Tempest Sleeved Booster Pack,41.0,,,,,silver tempest sleeved booster pack,,,
Burning Shadows Sleeved Booster Pack,4.0,,,,,burning shadows sleeved booster pack,,,
Ultra Prism Sleeved Booster Pack,1.0,,,,,ultra prism sleeved booster pack,,,
Team Up Sleeved Booster Pack,27.0,,,,,team up sleeved booster pack,,,
BREAKpoint Sleeved Booster Pack,6.0,,,,,breakpoint sleeved booster pack,,,
Steam Siege Sleeved Booster Pack,27.0,27.0,15.99,0.0,16.99,steam siege sleeved booster pack,0.0,431.73,
Revenant Recon Commander Deck,,,,3.0,39.99,revenant recon commander deck,119.97,,
Pokémon TCG: SWSH Chilling Reign Single Back Blister (Wailord),1.0,,,,,pokémon tcg: swsh chilling reign single back blister (wailord),,,need pictures
Pokémon TCG: SWSH Chilling Reign Single Pack Blister (Milotic),1.0,,,,,pokémon tcg: swsh chilling reign single pack blister (milotic),,,need pictures
Silver Tempest 2-pack Blister [Victini],2.0,,,,,silver tempest 2-pack blister [victini],,,"Need Pictures, make sure packs are correct"
Silver Tempest 2-pack Blister [Jirachi],1.0,,,,,silver tempest 2-pack blister [jirachi],,,"Need Pictures, make sure packs are correct"
Twilight Masquerade Single Pack Blister [Toxel],1.0,,,,,twilight masquerade single pack blister [toxel],,,
Twilight Masquerade Single Pack Blister [Pupitar],1.0,,,,,twilight masquerade single pack blister [pupitar],,,
Science! Commander Deck,,,,2.0,32.99,science! commander deck,65.98,,
Evolving Skies Single Pack Blister [Eevee],2.0,0.0,49.99,,,evolving skies single pack blister [eevee],,0.0,
Pokemon SWSH Evolving Skies Single Pack Blister (MJ Holdings),1.0,,,,,pokemon swsh evolving skies single pack blister (mj holdings),,,"Need Pictures, make sure packs are correct"
Unified Minds Single Pack Blister [Umbreon],3.0,,,,,unified minds single pack blister [umbreon],,,
Unified Minds Single Pack Blister [Espeon],3.0,,,,,unified minds single pack blister [espeon],,,
Fates Collide Single Pack Blister [Gastly],4.0,,,,,fates collide single pack blister [gastly],,,
Fates Collide Single Pack Blister [Pansear],1.0,,,,,fates collide single pack blister [pansear],,,
Pokémon TCG: SWSH- Evolving Skies 2-pack Blister (Jirachi),6.0,,,,,pokémon tcg: swsh- evolving skies 2-pack blister (jirachi),,,"Need Pictures, make sure packs are correct"
Pokémon TCG: SWSH- Evolving Skies 2-pack Blister (Celebi),2.0,,,,,pokémon tcg: swsh- evolving skies 2-pack blister (celebi),,,"Need Pictures, make sure packs are correct"
Pokémon TCG: SWSH- Evolving Skies 2-pack Blister (Latias),2.0,,,,,pokémon tcg: swsh- evolving skies 2-pack blister (latias),,,"Need Pictures, make sure packs are correct"
Pokémon TCG: SWSH- Evolving Skies 2-pack Blister (Latios),2.0,,,,,pokémon tcg: swsh- evolving skies 2-pack blister (latios),,,"Need Pictures, make sure packs are correct"
Pokémon TCG: S&M- Lost Thunder 2-Pack Mini-Pack Blister (Dragonite),2.0,,,,,pokémon tcg: s&m- lost thunder 2-pack mini-pack blister (dragonite),,,"Need Pictures, make sure packs are correct"
Pokémon TCG: S&M- Lost Thunder 2-Pack Mini-Pack Blister (Machamp),1.0,,,,,pokémon tcg: s&m- lost thunder 2-pack mini-pack blister (machamp),,,"Need Pictures, make sure packs are correct"
Pokémon TCG: S&M- Team Up 2-Pack Mini-Pack Blister (Machamp),2.0,,,,,pokémon tcg: s&m- team up 2-pack mini-pack blister (machamp),,,"Need Pictures, make sure packs are correct"
Pokémon TCG: S&M- Sun and Moon Base 2-Pack Mini-Pack Blister (Dragonite),1.0,,,,,pokémon tcg: s&m- sun and moon base 2-pack mini-pack blister (dragonite),,,"Need Pictures, make sure packs are correct"
Pokémon TCG: S&M- Sun and Moon Base 2-Pack Mini-Pack Blister (Machamp),4.0,,,,,pokémon tcg: s&m- sun and moon base 2-pack mini-pack blister (machamp),,,"Need Pictures, make sure packs are correct"
Evolutions Single Pack Blister [Weezing],11.0,,,,,evolutions single pack blister [weezing],,,
Evolutions Single Pack Blister [Greninja],3.0,,,,,evolutions single pack blister [greninja],,,
Cosmic Eclipse 2-pack Blister [Celebi],3.0,,,,,cosmic eclipse 2-pack blister [celebi],,,"Need Pictures, make sure packs are correct"
Lost Origin Single Pack Blister [Scorbunny],1.0,,,,,lost origin single pack blister [scorbunny],,,
Lost Origin Single Pack Blister [Croagunk],1.0,,,,,lost origin single pack blister [croagunk],,,
Breakpoint Single Pack Blister [Hydreigon],1.0,,,,,breakpoint single pack blister [hydreigon],,,
Phantom Forces Single Pack Blister [MJ Holdings],1.0,,,,,phantom forces single pack blister [mj holdings],,,"Need Pictures, make sure packs are correct"
Ultra Prism Single Pack Blister [Kirlia],1.0,,,,,ultra prism single pack blister [kirlia],,,
Team Up Single Pack Blister [Pikachu],1.0,,,,,team up single pack blister [pikachu],,,
Forbidden Light Single Pack Blister [Exeggcute],1.0,,,,,forbidden light single pack blister [exeggcute],,,
Steam Siege Single Pack Blister [Floette],1.0,,,,,steam siege single pack blister [floette],,,
Steam Siege Single Pack Blister [Lucario],1.0,,,,,steam siege single pack blister [lucario],,,
Sun & Moon Base Single Pack Blister [Pikipek],1.0,,,,,sun & moon base single pack blister [pikipek],,,
Sun & Moon Base Single Pack Blister [Rockruff],1.0,,,,,sun & moon base single pack blister [rockruff],,,
Battle Styles Single Pack Blister [Arrokuda],6.0,,,,,battle styles single pack blister [arrokuda],,,
Battle Styles Single Pack Blister [Charmander],6.0,3.0,12.99,3.0,12.99,battle styles single pack blister [charmander],38.97,38.97,
Surging Sparks Single Pack Blister [Wooper],7.0,,,,,surging sparks single pack blister [wooper],,,
Surging Sparks Single Pack Blister [Pachirisu],10.0,,,,,surging sparks single pack blister [pachirisu],,,
Surging Sparks Single Pack Blister [Sinistcha],6.0,5.0,8.99,,,surging sparks single pack blister [sinistcha],,44.95,
Surging Sparks Single Pack Blister [Hisuian Arcanine],2.0,,,,,surging sparks single pack blister [hisuian arcanine],,,
Pokémon TCG: S&M – Unbroken Bonds Single Pack Blister (MJ Holdings),1.0,,,,,pokémon tcg: s&m – unbroken bonds single pack blister (mj holdings),,,"Need Pictures, make sure packs are correct"
Pokémon TCG: S&M – Unified Minds Single Pack Blister (MJ Holdings),1.0,,,,,pokémon tcg: s&m – unified minds single pack blister (mj holdings),,,"Need Pictures, make sure packs are correct"
Pokémon TCG: SWSH – Sword and Shield Base Single Pack Blister (MJ Holdings),1.0,,,,,pokémon tcg: swsh – sword and shield base single pack blister (mj holdings),,,"Need Pictures, make sure packs are correct"
Pokémon TCG: SWSH Darkness Ablaze 2-Pack Blister (Mega Mawile),1.0,,,,,pokémon tcg: swsh darkness ablaze 2-pack blister (mega mawile),,,"Need Pictures, make sure packs are correct"
Pokémon TCG: SWSH Darkness Ablaze 2-Pack Blister (Mega Tyranitar),1.0,,,,,pokémon tcg: swsh darkness ablaze 2-pack blister (mega tyranitar),,,"Need Pictures, make sure packs are correct"
Ultra Prism 3-Pack Blister [Alolan Vulpix],2.0,,,,,ultra prism 3-pack blister [alolan vulpix],,,
Ultra Prism 3-Pack Blister [PorygonZ],1.0,,,,,ultra prism 3-pack blister [porygonz],,,
151 Booster Pack,1200.0,100.0,11.49,100.0,9.99,151 booster pack,999.0,1149.0,
Silver Tempest Booster Pack,999.0,73.0,6.49,104.0,6.89,silver tempest booster pack,716.56,473.77000000000004,
Shining Legends Booster Pack,21.0,10.0,49.99,11.0,47.99,shining legends booster pack,527.89,499.90000000000003,
Pokémon TCG: S&M Guardians Rising: Legendary Beasts 2-Pack Blister,1.0,,,,,pokémon tcg: s&m guardians rising: legendary beasts 2-pack blister,,,"Need Pictures, make sure packs are correct"
Battle Styles 3-Pack Blister [Jolteon],1.0,,,,,battle styles 3-pack blister [jolteon],,,
Battle Styles 3-Pack Blister [Eevee],1.0,,,,,battle styles 3-pack blister [eevee],,,
Vivid Voltage Booster Pack,10.0,0.0,6.49,0.0,6.5,vivid voltage booster pack,0.0,0.0,
Crown Zenith Booster Pack,1500.0,342.0,7.95,500.0,9.25,crown zenith booster pack,4625.0,2718.9,
Journey Together Booster Bundle,88.0,34.0,46.99,49.0,43.5,journey together booster bundle,2131.5,1597.66,
Journey Together Enhanced Booster Box,120.0,40.0,269.99,0.0,229.99,journey together enhanced booster box,0.0,10799.6,
Paldea Evolved Booster Box Case,0.0,,,0.0,1250.0,paldea evolved booster box case,0.0,,
Mimikyu ex Showcase,0.0,,,0.0,47.5,mimikyu ex showcase,0.0,,
Scrappy Survivors Commander Deck,,,,1.0,49.99,scrappy survivors commander deck,49.99,,
Timey-Wimey Commander Deck,,,,1.0,75.75,timey-wimey commander deck,75.75,,
Tyranid Swarm Commander Deck,,,,2.0,125.99,tyranid swarm commander deck,251.98,,
Dragon Majesty Special Collection [White Kyurem GX],1.0,1.0,249.99,,,dragon majesty special collection [white kyurem gx],,249.99,
2019 Pokémon SWSH Black Star Promos Charizard VMAX #SWSH261,1.0,1.0,21.95,,,2019 pokémon swsh black star promos charizard vmax #swsh261,,21.95,
Battle Styles Booster Pack,24.0,24.0,5.99,,,battle styles booster pack,,143.76,
Pikachu & Eevee Poké Ball Collection,2.0,2.0,99.99,0.0,102.0,pikachu & eevee poké ball collection,0.0,199.98,
Pokémon GO Radiant Eevee Premium Collection,2.0,0.0,69.99,0.0,69.99,pokémon go radiant eevee premium collection,0.0,0.0,
Leafeon VSTAR Special Collection,1.0,1.0,84.99,0.0,78.75,leafeon vstar special collection,0.0,84.99,
Glaceon VSTAR Special Collection,1.0,1.0,74.99,0.0,79.99,glaceon vstar special collection,0.0,74.99,
"Evolving Skies Elite Trainer Box [Espeon, Sylveon, Vaporeon, Glaceon]",5.0,2.0,254.99,3.0,254.99,"evolving skies elite trainer box [espeon, sylveon, vaporeon, glaceon]",764.97,509.98,
Pokémon GO Booster Pack,30.0,25.0,6.29,0.0,6.75,pokémon go booster pack,0.0,157.25,
Ultra Prism Booster Pack,2.0,2.0,26.99,,,ultra prism booster pack,,53.98,
Stellar Crown Elite Trainer Box,5.0,6.0,79.99,,,stellar crown elite trainer box,,479.93999999999994,
Dragon Majesty Special Collection [Salamence GX],0.0,1.0,249.99,,,dragon majesty special collection [salamence gx],,249.99,
Fusion Strike Single Pack Blister [Blitzle],2.0,2.0,14.99,,,fusion strike single pack blister [blitzle],,29.98,
Fusion Strike Single Pack Blister [Tepig],2.0,2.0,14.99,,,fusion strike single pack blister [tepig],,29.98,
Vivid Voltage Single Pack Blister [Grookey],2.0,2.0,9.99,,,vivid voltage single pack blister [grookey],,19.98,
Vivid Voltage Single Pack Blister [Scorbunny],2.0,2.0,9.99,,,vivid voltage single pack blister [scorbunny],,19.98,
Brilliant Stars 3-Pack Blister [Leafeon],3.0,1.0,23.99,,,brilliant stars 3-pack blister [leafeon],,23.99,
Unbroken Bonds Single Pack Blister [Pikachu],8.0,5.0,59.99,,,unbroken bonds single pack blister [pikachu],,299.95,
BREAKthrough Collector Pin 3 Pack Blister [Mega Swampert],1.0,1.0,179.99,,,breakthrough collector pin 3 pack blister [mega swampert],,179.99,
Brilliant Stars Build & Battle Box Display,1.0,1.0,299.99,,,brilliant stars build & battle box display,,299.99,
Japanese VSTAR Universe Booster Box,9.0,9.0,119.99,,,japanese vstar universe booster box,,1079.9099999999999,
Paradox Destinies Tin [Raging Bolt ex],1.0,1.0,29.99,,,paradox destinies tin [raging bolt ex],,29.99,
The Lost Caverns of Ixalan Veloci-Ramp-Tor Commander Deck,2.0,2.0,74.99,,,the lost caverns of ixalan veloci-ramp-tor commander deck,,149.98,
The Lost Caverns of Ixalan Blood-Rites Commander Deck,3.0,3.0,54.99,,,the lost caverns of ixalan blood-rites commander deck,,164.97,
The Lost Caverns of Ixalan Explorers of the Deep Commander Deck,1.0,1.0,44.99,,,the lost caverns of ixalan explorers of the deep commander deck,,44.99,
The Lost Caverns of Ixalan Ahoy Mateys Commander Deck,3.0,3.0,39.99,,,the lost caverns of ixalan ahoy mateys commander deck,,119.97,
Lord of the Rings Elven Council Commander Deck,,1.0,44.99,,,lord of the rings elven council commander deck,,44.99,
Lord of the Rings Riders of Rohan Commander Deck,,1.0,44.99,,,lord of the rings riders of rohan commander deck,,44.99,
Twilight Masquerade Booster Bundle,14.0,14.0,39.95,,,twilight masquerade booster bundle,,559.3000000000001,
Prismatic Evolutions Poster Collection,10.0,10.0,38.95,,,prismatic evolutions poster collection,,389.5,
Breakpoint Booster Pack,6.0,6.0,19.99,,,breakpoint booster pack,,119.94,
Twilight Masquerade Sleeved Booster Pack,13.0,13.0,6.99,,,twilight masquerade sleeved booster pack,,90.87,
Paldean Fates Mini Tin [1x Assorted Art],20.0,10.0,19.95,12.0,17.99,paldean fates mini tin [1x assorted art],215.88,199.5,
Stellar Crown Sleeved Booster Pack,10.0,10.0,6.99,,,stellar crown sleeved booster pack,,69.9,
Marnie Premium Tournament Collection Box,2.0,2.0,84.99,,,marnie premium tournament collection box,,169.98,
Obsidian Flames Pokémon Center Elite Trainer Box,2.0,2.0,379.99,0.0,349.99,obsidian flames pokémon center elite trainer box,0.0,759.98,
Cosmic Eclipse Booster Pack,2.0,1.0,29.99,,,cosmic eclipse booster pack,,29.99,
Fates Collide Booster Pack,11.0,11.0,22.99,,,fates collide booster pack,,252.89,
Champion’s Path Booster Pack,38.0,17.0,12.95,19.0,12.25,champion’s path booster pack,232.75,220.14999999999998,
Chilling Reign 3 Pack Blister [Snorlax],2.0,2.0,39.99,,,chilling reign 3 pack blister [snorlax],,79.98,
Hidden Fates Collection [Charizard GX],1.0,1.0,129.99,,,hidden fates collection [charizard gx],,129.99,
Hidden Fates Collection [Raichu GX],1.0,1.0,139.99,,,hidden fates collection [raichu gx],,139.99,
Champion's Path Special Pin Collection [Circhester],2.0,2.0,59.99,,,champion's path special pin collection [circhester],,119.98,
Pokemon GO Pin Collection [Bulbasaur],2.0,2.0,29.99,,,pokemon go pin collection [bulbasaur],,59.98,
Pokémon GO Elite Trainer Box,0.0,0.0,84.99,0.0,71.75,pokémon go elite trainer box,0.0,0.0,
Brilliant Stars Booster Box,3.0,2.0,299.99,,,brilliant stars booster box,,599.98,
Astral Radiance Single Pack Blister [Toxel],1.0,1.0,7.99,,,astral radiance single pack blister [toxel],,7.99,
Twilight Masquerade Booster Pack,24.0,24.0,6.99,,,twilight masquerade booster pack,,167.76,
Champion's Path Elite Trainer Box,2.0,2.0,129.99,,,champion's path elite trainer box,,259.98,
