name,total amount (4/1),rc_qty,rc_price,shopify_qty,shopify_price,__key__,shopify value,rc value,notes
Pokémon GO Tin [Blissey],1.0,,,1.0,24.49,pokémon go tin [blissey],24.49,,
Pokémon GO Tin [Snorlax],1.0,,,1.0,24.99,pokémon go tin [snorlax],24.99,,
Polteageist V Box,1.0,,,1.0,80.75,polteageist v box,80.75,,
Shining Legends Raichu GX Special Collection,1.0,,,1.0,214.99,shining legends raichu gx special collection,214.99,,
Espeon GX Premium Collection,1.0,,,1.0,249.99,espeon gx premium collection,249.99,,
Dominaria United Collector Booster Box,,,,0.0,213.49,dominaria united collector booster box,0.0,,
Fallout Collector Booster Box,,,,0.0,949.75,fallout collector booster box,0.0,,
Shining Legends Pin Collection [Zoroark],1.0,,,1.0,170.0,shining legends pin collection [zoroark],170.0,,
Sword & Shield Elite Trainer Box [Zamazenta],1.0,0.0,74.99,1.0,90.25,sword & shield elite trainer box [zamazenta],90.25,0.0,
Battle Styles Booster Box,1.0,,,1.0,184.99,battle styles booster box,184.99,,
Shining Fates Mad Party Pin Collection [Dedenne],1.0,,,1.0,30.99,shining fates mad party pin collection [dedenne],30.99,,
Shining Legends Pin Collection [Marshadow],1.0,,,1.0,176.0,shining legends pin collection [marshadow],176.0,,
Small But Mighty Premium Collection Box,1.0,,,1.0,351.0,small but mighty premium collection box,351.0,,
Team Up Single Pack Blister [Mimikyu],1.0,,,1.0,119.99,team up single pack blister [mimikyu],119.99,,
Lost Caverns of Ixalan Collector Booster Box,,,,0.0,334.99,lost caverns of ixalan collector booster box,0.0,,
Japanese Terastal Festival ex Booster Box,1.0,,,1.0,113.99,japanese terastal festival ex booster box,113.99,,
Legendary Birds Pin 3-Pack Blister [Zapdos],1.0,,,1.0,129.99,legendary birds pin 3-pack blister [zapdos],129.99,,
Phantom Forces 3-Pack Blister [Darkrai],1.0,,,1.0,299.99,phantom forces 3-pack blister [darkrai],299.99,,
Pokémon Trading Card Game Classic,1.0,,,1.0,244.99,pokémon trading card game classic,244.99,,
Fusion Strike Sleeved Booster Pack,1.0,,,1.0,11.79,fusion strike sleeved booster pack,11.79,,
Return to Ravnica Booster Box,1.0,,,1.0,134.99,return to ravnica booster box,134.99,,
Shining Fates Premium Collection [Shiny Dragapult VMAX],2.0,,,1.0,66.5,shining fates premium collection [shiny dragapult vmax],66.5,,
Ravnica Remastered Collector Booster Box,,,,0.0,369.99,ravnica remastered collector booster box,0.0,,
BREAKthrough Mega Evolution 3-Pack Pin Blister,2.0,,,1.0,129.99,breakthrough mega evolution 3-pack pin blister,129.99,,
Bewear GX Box,2.0,,,1.0,99.75,bewear gx box,99.75,,
2024 Fall Collector Chest,2.0,,,1.0,47.01,2024 fall collector chest,47.01,,
"Evolving Skies Elite Trainer Box [Leafeon, Umbreon, Jolteon & Flareon]",2.0,,,1.0,254.99,"evolving skies elite trainer box [leafeon, umbreon, jolteon & flareon]",254.99,,
The Lord of the Rings: Tales of Middle-earth Collector Booster Box,,,,0.0,839.22,the lord of the rings: tales of middle-earth collector booster box,0.0,,
Japanese Clay Burst Booster Box,2.0,,,1.0,79.99,japanese clay burst booster box,79.99,,
Japanese Shiny Treasure ex High Class Booster Box,2.0,,,1.0,67.99,japanese shiny treasure ex high class booster box,67.99,,
Universes Beyond Assassin's Creed Booster Box,,,,0.0,98.99,universes beyond assassin's creed booster box,0.0,,
Japanese Transformation Mask Booster Box,2.0,,,1.0,53.25,japanese transformation mask booster box,53.25,,
Steam Siege Booster Pack,12.0,12.0,14.49,,,steam siege booster pack,,173.88,
Ancient Origins Booster Pack,0.0,0.0,49.99,,,ancient origins booster pack,,0.0,
Pokemon BW Next Destinies Booster Pack (1x Random Artwork),0.0,,,,,pokemon bw next destinies booster pack (1x random artwork),,,
Burning Shadows Booster Pack,9.0,8.0,14.99,,,burning shadows booster pack,,119.92,
Chilling Reign Booster Pack,47.0,34.0,7.89,,,chilling reign booster pack,,268.26,
Pokemon Chilling Reign Elite Trainer Box (Shadow Calyrex),0.0,,,,,pokemon chilling reign elite trainer box (shadow calyrex),,,
Chilling Reign Pokemon Center Elite Trainer Box [Shadow Calyrex],0.0,0.0,149.99,,,chilling reign pokemon center elite trainer box [shadow calyrex],,0.0,
Pokemon GO Special Collection [Set of 3],1.0,1.0,119.99,,,pokemon go special collection [set of 3],,119.99,
Galar Collection [Grookey / Zacian V],1.0,1.0,189.99,,,galar collection [grookey / zacian v],,189.99,
Guardians Rising Booster Pack,17.0,17.0,16.99,,,guardians rising booster pack,,288.83,
League Battle Decks [Pikachu & Zekrom GX],1.0,1.0,69.99,,,league battle decks [pikachu & zekrom gx],,69.99,
Paldea Collection [Quaxly / Koraidon ex],2.0,0.0,29.99,0.0,47.99,paldea collection [quaxly / koraidon ex],0.0,0.0,I believe we
Paldea Collection [Sprigatito/ Koraidon ex],1.0,1.0,47.99,1.0,55.99,paldea collection [sprigatito/ koraidon ex],55.99,47.99,
Pokemon Prismatic Evolutions [Binder Only],50.0,12.0,9.99,,,pokemon prismatic evolutions [binder only],,119.88,
Reshiram & Charizard GX Premium Collection,1.0,1.0,199.99,,,reshiram & charizard gx premium collection,,199.99,
Pokemon S&M Celestial Storm Booster Pack (1x Random Artwork),0.0,0.0,41.99,,,pokemon s&m celestial storm booster pack (1x random artwork),,0.0,
Dragon Majesty Booster Pack,3.0,3.0,49.99,,,dragon majesty booster pack,,149.97,
Pokemon S&M Ultra Prism Single Pack Blister [Alolan Sandshrew],0.0,,,,,pokemon s&m ultra prism single pack blister [alolan sandshrew],,,
Unbroken Bonds 3-Pack Blister [Typhlosion],2.0,2.0,94.99,,,unbroken bonds 3-pack blister [typhlosion],,189.98,
Unbroken Bonds Single Pack Blister [Eevee],5.0,5.0,59.99,,,unbroken bonds single pack blister [eevee],,299.95,
Pokemon S&M White Kyurem GX Special Collection,1.0,1.0,249.99,,,pokemon s&m white kyurem gx special collection,,249.99,
151 Pokemon Center Elite Trainer Box,3.0,2.0,469.99,,,151 pokemon center elite trainer box,,939.98,
Pokemon S&V Paldean Fates Booster Pack,0.0,0.0,8.49,,,pokemon s&v paldean fates booster pack,,0.0,
Paldean Fates Pokemon Center Elite Trainer Box,7.0,3.0,259.99,0.0,219.99,paldean fates pokemon center elite trainer box,0.0,779.97,
Pokemon S&V Shrouded Fable Booster Pack [1x Random Artwork],0.0,0.0,5.99,,,pokemon s&v shrouded fable booster pack [1x random artwork],,0.0,
Pokemon SWSH Brilliant Stars 3 Pack Blister [Glaceon],0.0,,,,,pokemon swsh brilliant stars 3 pack blister [glaceon],,,
Eevee Evolutions Premium Collection,1.0,0.0,,0.0,180.99,eevee evolutions premium collection,0.0,,Taking to a show
Evolving Skies Single Pack Blister [Galarian Slowpoke],3.0,3.0,,,,evolving skies single pack blister [galarian slowpoke],,,
Crown Zenith Tin [Galarian Articuno],7.0,7.0,45.99,,,crown zenith tin [galarian articuno],,321.93,
Silver Tempest Booster Box,5.0,2.0,259.99,,,silver tempest booster box,,519.98,
Pokemon Sword & Shield Pokemon GO Pin Collection [Charmander],0.0,,,,,pokemon sword & shield pokemon go pin collection [charmander],,,
Sword & Shield Base Elite Trainer Box Plus [Zacian],1.0,1.0,139.99,,,sword & shield base elite trainer box plus [zacian],,139.99,
Sword & Shield Base Set Booster Pack,37.0,28.0,7.49,,,sword & shield base set booster pack,,209.72,
Eevee Evolutions Tin [Flareon V],1.0,1.0,,,,eevee evolutions tin [flareon v],,,
Eevee Evolutions Tin [Jolteon V],1.0,1.0,,,,eevee evolutions tin [jolteon v],,,
Sword and Shield Elite Trainer Box (Zamazenta),1.0,1.0,,,,sword and shield elite trainer box (zamazenta),,,
Pokemon Sword and Shield Shining Fates Collection [Pikachu V],0.0,,,,,pokemon sword and shield shining fates collection [pikachu v],,,
Celebrations Ultra-Premium Collection,12.0,5.0,425.99,7.0,449.99,celebrations ultra-premium collection,3149.9300000000003,2129.95,
League Battle Deck [Zacian V],2.0,,,1.0,43.99,league battle deck [zacian v],43.99,,
Lost Thunder Build & Battle Box,2.0,,,1.0,99.99,lost thunder build & battle box,99.99,,
151 Booster Bundle,7.0,7.0,,0.0,65.52,151 booster bundle,0.0,,
151 Mini Tin [1x Assorted Art],117.0,17.0,24.95,25.0,24.99,151 mini tin [1x assorted art],624.75,424.15,
151 Poster Collection,8.0,2.0,39.99,0.0,37.99,151 poster collection,0.0,79.98,
Obsidian Flames Booster Box,2.0,,,1.0,204.99,obsidian flames booster box,204.99,,
Pokémon GO Tin [Pikachu],2.0,,,1.0,28.49,pokémon go tin [pikachu],28.49,,
Phantom Forces & Furious Fists Collector’s Pin 3-Pack Blister [Primal Groudon],2.0,,,1.0,179.99,phantom forces & furious fists collector’s pin 3-pack blister [primal groudon],179.99,,
Prismatic Evolutions Pokémon Center Elite Trainer Box,2.0,,,1.0,349.99,prismatic evolutions pokémon center elite trainer box,349.99,,
Professor Juniper Premium Tournament Collection,2.0,,,1.0,69.99,professor juniper premium tournament collection,69.99,,
Arceus V Figure Collection,0.0,,,0.0,66.99,arceus v figure collection,0.0,,
Arceus VSTAR Ultra-Premium Collection,0.0,0.0,199.99,0.0,194.99,arceus vstar ultra-premium collection,0.0,0.0,
Astral Radiance Booster Box,2.0,,,1.0,269.99,astral radiance booster box,269.99,,
Astral Radiance Pokémon Center Elite Trainer Box,0.0,,,0.0,99.75,astral radiance pokémon center elite trainer box,0.0,,
Shining Fates Mad Party Pin Collection [Galarian Mr. Rime],2.0,,,1.0,30.99,shining fates mad party pin collection [galarian mr. rime],30.99,,
Battle Styles Elite Trainer Box [Rapid Strike Urshifu],1.0,1.0,,0.0,68.99,battle styles elite trainer box [rapid strike urshifu],0.0,,
Shining Fates Mad Party Pin Collection [Polteageist],2.0,0.0,34.99,1.0,31.99,shining fates mad party pin collection [polteageist],31.99,0.0,
Brilliant Stars Booster Pack,99.0,50.0,6.4,90.0,6.75,brilliant stars booster pack,607.5,320.0,
Brilliant Stars Pokémon Center Elite Trainer Box,0.0,,,0.0,118.49,brilliant stars pokémon center elite trainer box,0.0,,
Celebrations Collection Box [Dark Sylveon V],10.0,1.0,74.99,9.0,67.99,celebrations collection box [dark sylveon v],611.91,74.99,
Shining Fates Premium Collection [Shiny Crobat VMAX],2.0,,,1.0,56.99,shining fates premium collection [shiny crobat vmax],56.99,,
Celebrations Collection Box [Lance’s Charizard V],20.0,6.0,69.99,7.0,59.99,celebrations collection box [lance’s charizard v],419.93,419.93999999999994,
Celebrations Deluxe Pin Collection [Zacian LV. X],0.0,,,0.0,59.99,celebrations deluxe pin collection [zacian lv. x],0.0,,
Celebrations Elite Trainer Box,14.0,4.0,139.99,10.0,129.99,celebrations elite trainer box,1299.9,559.96,
Temporal Forces Booster Box,2.0,,,1.0,191.99,temporal forces booster box,191.99,,
Terapagos ex Ultra-Premium Collection,2.0,,,1.0,119.99,terapagos ex ultra-premium collection,119.99,,
Celebrations Premium Figure Collection [Pikachu VMAX],1.0,1.0,,0.0,99.99,celebrations premium figure collection [pikachu vmax],0.0,,
Phantom Forces 3-Pack Blister [Shiftry],2.0,,,2.0,299.99,phantom forces 3-pack blister [shiftry],599.98,,
Darkness Ablaze Single Pack Blister [Pikachu],2.0,,,1.0,20.75,darkness ablaze single pack blister [pikachu],20.75,,
Celebrations Mini Tin Display [Sealed],3.0,,,1.0,199.99,celebrations mini tin display [sealed],199.99,,
Celebrations Premium Playmat Collection [Pikachu V-UNION],3.0,,,1.0,99.99,celebrations premium playmat collection [pikachu v-union],99.99,,
Champion’s Path Pin Collection Display [Sealed],0.0,,,0.0,218.99,champion’s path pin collection display [sealed],0.0,,
Celebrations Prime Collection,3.0,,,0.0,115.99,celebrations prime collection,0.0,,
Champion’s Path Collection [Dubwool V],1.0,1.0,,0.0,42.74,champion’s path collection [dubwool v],0.0,,
Crown Zenith Morpeko V-UNION Playmat Premium Collection,3.0,,,1.0,83.99,crown zenith morpeko v-union playmat premium collection,83.99,,
Chilling Reign Elite Trainer Box [Ice Rider Calyrex],0.0,,,0.0,84.99,chilling reign elite trainer box [ice rider calyrex],0.0,,
Chilling Reign Elite Trainer Box [Shadow Rider Calyrex],0.0,0.0,59.98,0.0,83.99,chilling reign elite trainer box [shadow rider calyrex],0.0,0.0,
Paradox Wisdom Premium Collection,3.0,,,1.0,64.99,paradox wisdom premium collection,64.99,,
Pokémon GO Poké Ball Tin [3-Tin Bundle],3.0,,,1.0,65.49,pokémon go poké ball tin [3-tin bundle],65.49,,
Vivid Voltage Booster Box,3.0,0.0,189.99,1.0,190.0,vivid voltage booster box,190.0,0.0,
Scarlet & Violet Booster Box,3.0,,,1.0,184.0,scarlet & violet booster box,184.0,,
BREAKpoint Collector Pin 3-Pack Blister [Mega Scizor],3.0,,,1.0,109.99,breakpoint collector pin 3-pack blister [mega scizor],109.99,,
151 Alakazam ex Collection Box,4.0,,,2.0,68.99,151 alakazam ex collection box,137.98,,
Dive Ball Tin,4.0,,,2.0,161.49,dive ball tin,322.98,,
Celebrations Special Collection [V Memories],4.0,,,2.0,79.99,celebrations special collection [v memories],159.98,,
Pokémon TCG: Eevee Evolutions Premium Collection,0.0,,,0.0,180.99,pokémon tcg: eevee evolutions premium collection,0.0,,
Elemental Power Tin [Vaporeon GX],0.0,,,0.0,79.99,elemental power tin [vaporeon gx],0.0,,
Eternatus VMAX Premium Collection,0.0,,,0.0,78.99,eternatus vmax premium collection,0.0,,
Dragonite V Box,4.0,,,2.0,71.25,dragonite v box,142.5,,
Flareon VMAX Premium Collection,7.0,3.0,189.99,3.0,189.99,flareon vmax premium collection,569.97,569.97,
Mythical Squishy Premium Collection,4.0,0.0,129.99,2.0,155.75,mythical squishy premium collection,311.5,0.0,
Scarlet & Violet Elite Trainer Box [Miraidon],4.0,,,2.0,69.49,scarlet & violet elite trainer box [miraidon],138.98,,
Gyarados ex Premium Collection,7.0,1.0,57.99,6.0,85.99,gyarados ex premium collection,515.9399999999999,57.99,
Hidden Fates Elite Trainer Box,0.0,0.0,279.99,0.0,280.99,hidden fates elite trainer box,0.0,0.0,
Twilight Masquerade Booster Box,4.0,0.0,194.95,2.0,206.75,twilight masquerade booster box,413.5,0.0,
Hidden Fates Tin [Charizard GX],12.0,5.0,105.99,0.0,99.75,hidden fates tin [charizard gx],0.0,529.9499999999999,
Hidden Fates Tin [Gyarados GX],7.0,3.0,109.99,4.0,99.99,hidden fates tin [gyarados gx],399.96,329.96999999999997,
Evolutions Charizard EX Box,4.0,,,2.0,199.99,evolutions charizard ex box,399.98,,
Dragonite EX Box,4.0,,,2.0,149.99,dragonite ex box,299.98,,
Kanto Power Collection [Dragonite EX & Pidgeot EX],4.0,,,2.0,349.99,kanto power collection [dragonite ex & pidgeot ex],699.98,,
Crown Zenith Booster Bundle,4.0,,,2.0,64.5,crown zenith booster bundle,129.0,,
Japanese Paradigm Trigger Booster Box,5.0,,,2.0,94.99,japanese paradigm trigger booster box,189.98,,
My First Battle [Charmander & Squirtle],5.0,,,2.0,18.0,my first battle [charmander & squirtle],36.0,,
My First Battle [Pikachu & Bulbasaur],5.0,,,2.0,14.99,my first battle [pikachu & bulbasaur],29.98,,
Jirachi V Box,4.0,4.0,,0.0,36.99,jirachi v box,0.0,,
Jolteon VMAX Premium Collection,6.0,2.0,229.99,3.0,199.99,jolteon vmax premium collection,599.97,459.98,
Journey Together 3-Pack Blister [1x Assorted Artwork],128.0,33.0,27.99,50.0,20.99,journey together 3-pack blister [1x assorted artwork],1049.5,923.67,
Journey Together Elite Trainer Box,108.0,24.0,84.95,47.0,76.99,journey together elite trainer box,3618.5299999999997,2038.8000000000002,
Journey Together Sleeved Booster Pack,0.0,,,0.0,7.49,journey together sleeved booster pack,0.0,,
Kanto Friends Mini Tin [1x Assorted Art],19.0,19.0,,0.0,16.99,kanto friends mini tin [1x assorted art],0.0,,
Kleavor VSTAR Premium Collection,0.0,,,0.0,45.25,kleavor vstar premium collection,0.0,,
Paldea Evolved Booster Box,5.0,,,1.0,222.0,paldea evolved booster box,222.0,,
Fusion Strike Booster Box,5.0,0.0,499.99,0.0,469.99,fusion strike booster box,0.0,0.0,
Scarlet & Violet Elite Trainer Box [Koraidon],5.0,,,2.0,64.99,scarlet & violet elite trainer box [koraidon],129.98,,
Lost Origin Booster Pack,999.0,37.0,9.49,70.0,8.99,lost origin booster pack,629.3000000000001,351.13,
Temporal Forces Elite Trainer Box [Iron Leaves],5.0,,,2.0,61.89,temporal forces elite trainer box [iron leaves],123.78,,
Temporal Forces Elite Trainer Box [Walking Wake],5.0,,,2.0,66.99,temporal forces elite trainer box [walking wake],133.98,,
Celebrations Collector Chest,5.0,0.0,69.99,0.0,61.75,celebrations collector chest,0.0,0.0,
Champion’s Path Premium Collection [Marnie],6.0,,,3.0,92.14,champion’s path premium collection [marnie],276.42,,
Crown Zenith Pokémon Center Elite Trainer Box Plus,6.0,,,1.0,279.99,crown zenith pokémon center elite trainer box plus,279.99,,
Crown Zenith Mini Tin Display [Sealed],6.0,,,2.0,198.99,crown zenith mini tin display [sealed],397.98,,
Dark Powers ex Special Collection,6.0,,,3.0,49.99,dark powers ex special collection,149.97,,
Love Ball Tin,6.0,,,3.0,94.99,love ball tin,284.96999999999997,,
V Heroes Tin [Espeon V],6.0,,,3.0,72.25,v heroes tin [espeon v],216.75,,
V Heroes International Tin [Sylveon V],6.0,,,2.0,54.25,v heroes international tin [sylveon v],108.5,,
Paldea Evolved Pokémon Center Elite Trainer Box,0.0,,,0.0,279.99,paldea evolved pokémon center elite trainer box,0.0,,
Paldean Fates Elite Trainer Box,1.0,,,0.0,123.99,paldean fates elite trainer box,0.0,,
V Heroes Tin [Umbreon V],6.0,,,2.0,61.75,v heroes tin [umbreon v],123.5,,
Paradox Rift Booster Box,1.0,,,0.0,189.0,paradox rift booster box,0.0,,
Paradox Rift Elite Trainer Box,0.0,,,0.0,128.99,paradox rift elite trainer box,0.0,,
Paradox Rift Pokémon Center Elite Trainer Box [Roaring Moon],0.0,,,0.0,138.99,paradox rift pokémon center elite trainer box [roaring moon],0.0,,
Hidden Fates Tin [Raichu GX],7.0,,,0.0,94.99,hidden fates tin [raichu gx],0.0,,
Surging Sparks Booster Box,7.0,0.0,279.79,3.0,239.99,surging sparks booster box,719.97,0.0,
V Heroes Tin [Sylveon V],7.0,,,3.0,77.99,v heroes tin [sylveon v],233.96999999999997,,
Armarouge ex Premium Collection,8.0,,,4.0,38.99,armarouge ex premium collection,155.96,,
Celebrations Collection [Dragapult Prime Box],8.0,,,4.0,35.99,celebrations collection [dragapult prime box],143.96,,
Kanto Power Collection [Mewtwo EX & Slowbro EX],8.0,,,4.0,349.99,kanto power collection [mewtwo ex & slowbro ex],1399.96,,
Japanese 151 Booster Box,11.0,,,5.0,151.99,japanese 151 booster box,759.95,,
Charizard ex Premium Collection Box,12.0,,,6.0,61.75,charizard ex premium collection box,370.5,,
Kanto Power Tin [1x Assorted Art],21.0,,,10.0,44.99,kanto power tin [1x assorted art],449.90000000000003,,
Sword & Shield Base Set Sleeved Booster Pack,26.0,,,13.0,9.49,sword & shield base set sleeved booster pack,123.37,,
Prismatic Evolutions 2-Pack Blister,0.0,,,0.0,26.25,prismatic evolutions 2-pack blister,0.0,,
Prismatic Evolutions Booster Pack,0.0,,,0.0,12.99,prismatic evolutions booster pack,0.0,,
Prismatic Evolutions Elite Trainer Box,3.0,,,0.0,125.99,prismatic evolutions elite trainer box,0.0,,
Astral Radiance Booster Pack,57.0,0.0,5.75,27.0,5.99,astral radiance booster pack,161.73000000000002,0.0,
Scarlet & Violet Base Set Booster Pack,62.0,0.0,5.75,31.0,5.49,scarlet & violet base set booster pack,170.19,0.0,
Azurite Sea Illumineer’s Trove,,,,1.0,34.99,azurite sea illumineer’s trove,34.99,,
Azurite Sea Sleeved Booster Pack,,,,12.0,7.49,azurite sea sleeved booster pack,89.88,,
Evolution Celebration Tin [Sylveon GX],0.0,,,0.0,87.49,evolution celebration tin [sylveon gx],0.0,,
Illumineer’s Quest [Deep Trouble],,,,2.0,44.99,illumineer’s quest [deep trouble],89.98,,
Into the Inklands Booster Pack,,,,5.0,5.49,into the inklands booster pack,27.450000000000003,,
Into the Inklands Illumineer’s Trove,,,,1.0,52.99,into the inklands illumineer’s trove,52.99,,
Sword and Shield Elite Trainer Box [Zacian],0.0,,,0.0,94.49,sword and shield elite trainer box [zacian],0.0,,
Pokémon TCG: SWSH - Elite Trainer Box – Zacian,0.0,,,0.0,85.5,pokémon tcg: swsh - elite trainer box – zacian,0.0,,
Into the Inklands Sleeved Booster Pack,,,,10.0,5.55,into the inklands sleeved booster pack,55.5,,
Lost Origin Elite Trainer Box,31.0,12.0,84.99,14.0,90.25,lost origin elite trainer box,1263.5,1019.8799999999999,
Rebel Clash Elite Trainer Box,0.0,,,0.0,199.49,rebel clash elite trainer box,0.0,,
Sword & Shield Ultra-Premium Collection [Charizard],15.0,7.0,279.99,7.0,259.99,sword & shield ultra-premium collection [charizard],1819.93,1959.93,
Sword & Shield Ultra-Premium Collection [Zacian & Zamazenta],0.0,0.0,159.99,0.0,174.99,sword & shield ultra-premium collection [zacian & zamazenta],0.0,0.0,
Astral Radiance Elite Trainer Box,0.0,,,0.0,69.99,astral radiance elite trainer box,0.0,,
Brilliant Stars Elite Trainer Box,1.0,,,0.0,79.25,brilliant stars elite trainer box,0.0,,
Lucario VSTAR Premium Collection,0.0,,,0.0,57.0,lucario vstar premium collection,0.0,,
